13:01:46.252 [restartedMain] INFO  c.app.journal.JournalAppApplication -Starting JournalAppApplication using Java 24.0.1 with PID 33432 (C:\Users\hp\Desktop\Study\Java-programs\JournalApplication\journal\target\classes started by hp in C:\Users\hp\Desktop\Study\Java-programs\JournalApplication)
13:01:46.260 [restartedMain] DEBUG c.app.journal.JournalAppApplication -Running with Spring Boot v3.5.11, Spring v6.2.16
13:01:46.262 [restartedMain] INFO  c.app.journal.JournalAppApplication -No active profile set, falling back to 1 default profile: "default"
13:01:46.413 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
13:01:46.414 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor -For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
13:01:48.309 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
13:01:48.457 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 132 ms. Found 2 MongoDB repository interfaces.
13:01:49.771 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port 8080 (http)
13:01:49.799 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol -Initializing ProtocolHandler ["http-nio-8080"]
13:01:49.804 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
13:01:49.805 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/10.1.52]
13:01:49.885 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
13:01:49.887 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 3470 ms
